tailnum,age,manufacturer,engine,seats,size_cat
N843UA,16,AIRBUS INDUSTRIE,Turbo-jet,179,medium
N843VA,6,AIRBUS,Turbo-fan,182,medium
N844DN,2,BOEING,Turbo-fan,222,medium
N844MH,15,BOEING,Turbo-fan,300,large
N844UA,16,AIRBUS INDUSTRIE,Turbo-jet,179,medium
N844VA,6,AIRBUS,Turbo-fan,182,medium
N845DN,2,BOEING,Turbo-fan,222,medium
N845MH,15,BOEING,Turbo-fan,300,large
N845UA,16,AIRBUS INDUSTRIE,Turbo-jet,179,medium
N845VA,6,AIRBUS,Turbo-fan,182,medium
N846DN,2,BOEING,Turbo-fan,222,medium
N846UA,16,AIRBUS INDUSTRIE,Turbo-jet,179,medium
N846VA,6,AIRBUS,Turbo-fan,182,medium
N847DN,2,BOEING,Turbo-fan,222,medium
N847UA,16,AIRBUS INDUSTRIE,Turbo-jet,179,medium
N847VA,6,AIRBUS,Turbo-fan,182,medium
N848DN,2,BOEING,Turbo-fan,222,medium
N848UA,15,AIRBUS INDUSTRIE,Turbo-jet,179,medium
N848VA,6,AIRBUS,Turbo-fan,182,medium
N849DN,2,BOEING,Turbo-fan,222,medium
N849UA,15,AIRBUS INDUSTRIE,Turbo-jet,179,medium
N849VA,5,AIRBUS,Turbo-fan,182,medium
N8501V,1,BOEING,Turbo-fan,189,medium
N8502Z,1,BOEING,Turbo-fan,189,medium
N8503A,1,BOEING,Turbo-fan,189,medium
N8504G,1,BOEING,Turbo-fan,189,medium
N8507C,1,BOEING,Turbo-fan,189,medium
N8508W,1,BOEING,Turbo-fan,189,medium
N8509U,1,BOEING,Turbo-fan,189,medium
N850AA,10,SOCATA,Turbo-prop,7,small
N850DN,NA,BOEING,Turbo-fan,222,medium
N850UA,15,AIRBUS INDUSTRIE,Turbo-jet,179,medium
N8510E,1,BOEING,Turbo-fan,189,medium
N8511K,1,BOEING,Turbo-fan,189,medium
N8512U,1,BOEING,Turbo-fan,189,medium
N8513F,1,BOEING,Turbo-fan,189,medium
N8514F,1,BOEING,Turbo-fan,189,medium
N8515X,1,BOEING,Turbo-fan,189,medium
N8517F,1,BOEING,Turbo-fan,189,medium
N8518R,1,BOEING,Turbo-fan,189,medium
N8519R,0,BOEING,Turbo-fan,189,medium
N851DN,1,BOEING,Turbo-fan,222,medium
N851NW,13,AIRBUS INDUSTRIE,Turbo-jet,379,large
N851UA,15,AIRBUS,Turbo-jet,179,medium
N851VA,5,AIRBUS,Turbo-fan,182,medium
N8520Q,0,BOEING,Turbo-fan,189,medium
N8522P,0,BOEING,Turbo-fan,189,medium
N8523W,0,BOEING,Turbo-fan,189,medium
N8524Z,0,BOEING,Turbo-fan,189,medium
N8525S,0,BOEING,Turbo-fan,189,medium
N8526W,0,BOEING,Turbo-fan,189,medium
N8527Q,0,BOEING,Turbo-fan,189,medium
N8528Q,0,BOEING,Turbo-fan,189,medium
N8529Z,0,BOEING,Turbo-fan,189,medium
N852DN,1,BOEING,Turbo-fan,222,medium
N852UA,15,AIRBUS,Turbo-jet,179,medium
N852VA,5,AIRBUS,Turbo-fan,182,medium
N8530W,0,BOEING,Turbo-fan,189,medium
N8531Q,0,BOEING,Turbo-fan,189,medium
N8532S,0,BOEING,Turbo-fan,189,medium
N8533S,0,BOEING,Turbo-fan,189,medium
N8534Z,0,BOEING,Turbo-fan,189,medium
N8535S,0,BOEING,Turbo-fan,189,medium
N8536Z,0,BOEING,Turbo-fan,189,medium
N8537Z,0,BOEING,Turbo-fan,189,medium
N8538V,0,BOEING,Turbo-fan,189,medium
N8539V,0,BOEING,Turbo-fan,189,medium
N853DN,1,BOEING,Turbo-fan,222,medium
N853UA,15,AIRBUS,Turbo-jet,179,medium
N853VA,5,AIRBUS,Turbo-fan,182,medium
N8540V,0,BOEING,Turbo-fan,189,medium
N8541W,0,BOEING,Turbo-fan,189,medium
N8542Z,0,BOEING,Turbo-fan,189,medium
N8543Z,0,BOEING,Turbo-fan,189,medium
N8544Z,0,BOEING,Turbo-fan,189,medium
N8545V,0,BOEING,Turbo-fan,189,medium
N8546V,0,BOEING,Turbo-fan,189,medium
N8547V,0,BOEING,Turbo-fan,189,medium
N8548P,0,BOEING,Turbo-fan,189,medium
N8549Z,0,BOEING,Turbo-fan,189,medium
N854AA,41,BOEING,Turbo-jet,134,medium
N854DN,1,BOEING,Turbo-fan,222,medium
N854UA,15,AIRBUS,Turbo-jet,179,medium
N854VA,5,AIRBUS,Turbo-fan,182,medium
N8550Q,0,BOEING,Turbo-fan,189,medium
N8551Q,0,BOEING,Turbo-fan,189,medium
N8552Z,0,BOEING,Turbo-fan,189,medium
N8553W,0,BOEING,Turbo-fan,189,medium
N855DN,1,BOEING,Turbo-fan,222,medium
N855UA,15,AIRBUS,Turbo-jet,179,medium
N855VA,5,AIRBUS,Turbo-fan,182,medium
N856AS,17,BOMBARDIER INC,Turbo-fan,55,small
N856DN,1,BOEING,Turbo-fan,222,medium
N857AA,17,CESSNA,Turbo-fan,8,small
N857DZ,1,BOEING,Turbo-fan,222,medium
N858AS,17,BOMBARDIER INC,Turbo-fan,55,small
N858DZ,1,BOEING,Turbo-fan,222,medium
N859DN,1,BOEING,Turbo-fan,222,medium
N8600F,5,BOEING,Turbo-fan,140,medium
N8601C,5,BOEING,Turbo-fan,140,medium
N8602F,5,BOEING,Turbo-fan,140,medium
N8603F,5,BOEING,Turbo-fan,140,medium
N8604K,5,BOEING,Turbo-fan,140,medium
N8605E,5,BOEING,Turbo-fan,140,medium
N8606C,NA,BOEING,Turbo-fan,140,medium
N8607M,4,BOEING,Turbo-fan,140,medium
N8608N,4,BOEING,Turbo-fan,140,medium
N8609A,4,BOEING,Turbo-fan,140,medium
N860AA,12,GULFSTREAM AEROSPACE,Turbo-fan,20,small
N860DN,1,BOEING,Turbo-fan,222,medium
N8610A,4,BOEING,Turbo-fan,140,medium
N8611F,4,BOEING,Turbo-fan,140,medium
N8612K,4,BOEING,Turbo-fan,140,medium
N8613K,4,BOEING,Turbo-fan,140,medium
N8614M,4,BOEING,Turbo-fan,140,medium
N8615E,4,BOEING,Turbo-fan,140,medium
N8616C,4,BOEING,Turbo-fan,140,medium
N8617E,4,BOEING,Turbo-fan,140,medium
N8618N,4,BOEING,Turbo-fan,140,medium
N8619F,4,BOEING,Turbo-fan,140,medium
N861DA,18,BOEING,Turbo-jet,400,large
N861DN,1,BOEING,Turbo-fan,222,medium
N8620H,4,BOEING,Turbo-fan,140,medium
N8621A,4,BOEING,Turbo-fan,140,medium
N8622A,4,BOEING,Turbo-fan,140,medium
N8623F,4,BOEING,Turbo-fan,140,medium
N8624J,3,BOEING,Turbo-fan,140,medium
N8625A,3,BOEING,Turbo-fan,140,medium
N8626B,3,BOEING,Turbo-fan,140,medium
N8627B,3,BOEING,Turbo-fan,140,medium
N8628A,3,BOEING,Turbo-fan,140,medium
N8629A,3,BOEING,Turbo-fan,140,medium
N862DA,18,BOEING,Turbo-jet,400,large
N862DN,1,BOEING,Turbo-fan,222,medium
N8630B,3,BOEING,Turbo-fan,140,medium
N8631A,3,BOEING,Turbo-fan,140,medium
N8632A,3,BOEING,Turbo-fan,140,medium
N8633A,3,BOEING,Turbo-fan,140,medium
N8634A,3,BOEING,Turbo-fan,140,medium
N8635F,3,BOEING,Turbo-fan,140,medium
N8637A,3,BOEING,Turbo-fan,140,medium
N8638A,3,BOEING,Turbo-fan,140,medium
N8639B,3,BOEING,Turbo-fan,140,medium
N863DA,18,BOEING,Turbo-jet,400,large
N863DN,1,BOEING,Turbo-fan,222,medium
N8640D,3,BOEING,Turbo-fan,140,medium
N8641B,3,BOEING,Turbo-fan,140,medium
N8642E,3,BOEING,Turbo-fan,140,medium
N8643A,3,BOEING,Turbo-fan,140,medium
N8644C,3,BOEING,Turbo-fan,140,medium
N8645A,3,BOEING,Turbo-fan,140,medium
N8646B,3,BOEING,Turbo-fan,140,medium
N8647A,3,BOEING,Turbo-fan,140,medium
N8648A,3,BOEING,Turbo-fan,140,medium
N8649A,3,BOEING,Turbo-fan,140,medium
N864DN,1,BOEING,Turbo-fan,222,medium
N8650F,3,BOEING,Turbo-fan,140,medium
N8651A,3,BOEING,Turbo-fan,140,medium
N8652B,3,BOEING,Turbo-fan,140,medium
N86534,NA,BOEING,Turbo-fan,149,medium
N8653A,3,BOEING,Turbo-fan,140,medium
N8654B,3,BOEING,Turbo-fan,140,medium
N8655D,3,BOEING,Turbo-fan,140,medium
N8656B,3,BOEING,Turbo-fan,140,medium
N8657B,2,BOEING,Turbo-fan,140,medium
N8658A,2,BOEING,Turbo-fan,140,medium
N8659D,2,BOEING,Turbo-fan,140,medium
N865AA,48,GULFSTREAM AEROSPACE,Turbo-jet,22,small
N865DN,1,BOEING,Turbo-fan,222,medium
N8660A,2,BOEING,Turbo-fan,140,medium
N8661A,2,BOEING,Turbo-fan,140,medium
N8662F,2,BOEING,Turbo-fan,140,medium
N8663A,2,BOEING,Turbo-fan,140,medium
N8664J,2,BOEING,Turbo-fan,140,medium
N8665D,2,BOEING,Turbo-fan,140,medium
N8667D,2,BOEING,Turbo-fan,140,medium
N8668A,2,BOEING,Turbo-fan,140,medium
N8669B,2,BOEING,Turbo-fan,140,medium
N866AA,40,BOEING,Turbo-jet,134,medium
N866AS,16,BOMBARDIER INC,Turbo-fan,55,small
N866DA,18,BOEING,Turbo-jet,400,large
N866DN,1,BOEING,Turbo-fan,222,medium
N8670A,2,BOEING,Turbo-fan,140,medium
N8671D,2,BOEING,Turbo-fan,140,medium
N8672F,2,BOEING,Turbo-fan,140,medium
N8673F,2,BOEING,Turbo-fan,140,medium
N8674B,2,BOEING,Turbo-fan,140,medium
N8675A,2,BOEING,Turbo-fan,140,medium
N8676A,2,BOEING,Turbo-fan,140,medium
N8677A,1,BOEING,Turbo-fan,140,medium
N8678E,1,BOEING,Turbo-fan,140,medium
N8679A,1,BOEING,Turbo-fan,140,medium
N867DA,15,BOEING,Turbo-jet,400,large
N867DN,1,BOEING,Turbo-fan,222,medium
N8680C,1,BOEING,Turbo-fan,140,medium
N8681M,1,BOEING,Turbo-fan,140,medium
N8682B,1,BOEING,Turbo-fan,140,medium
N8683D,1,BOEING,Turbo-fan,140,medium
N8684F,1,BOEING,Turbo-fan,140,medium
N8685B,1,BOEING,Turbo-fan,140,medium
N8686A,1,BOEING,Turbo-fan,140,medium
N8687A,1,BOEING,Turbo-fan,140,medium
N8688J,1,BOEING,Turbo-fan,140,medium
N8689C,1,BOEING,Turbo-fan,140,medium
N868DN,1,BOEING,Turbo-fan,222,medium
N8690A,1,BOEING,Turbo-fan,140,medium
N8691A,1,BOEING,Turbo-fan,140,medium
N8692F,1,BOEING,Turbo-fan,140,medium
N8693A,1,BOEING,Turbo-fan,140,medium
N8694E,1,BOEING,Turbo-fan,140,medium
N8695D,1,BOEING,Turbo-fan,140,medium
N8696E,1,BOEING,Turbo-fan,140,medium
N8697C,1,BOEING,Turbo-fan,140,medium
N8698B,1,BOEING,Turbo-fan,140,medium
N8699A,1,BOEING,Turbo-fan,140,medium
N869AS,16,BOMBARDIER INC,Turbo-fan,55,small
N869DN,1,BOEING,Turbo-fan,222,medium
N8704Q,1,BOEING,Turbo-fan,185,medium
N8705Q,0,BOEING,Turbo-fan,185,medium
N8706W,0,BOEING,Turbo-fan,185,medium
N8707P,NA,BOEING,Turbo-fan,185,medium
N8708Q,0,BOEING,Turbo-fan,185,medium
N8709Q,0,BOEING,Turbo-fan,185,medium
N870DN,0,BOEING,Turbo-fan,222,medium
N8710M,0,BOEING,Turbo-fan,185,medium
N8711Q,0,BOEING,Turbo-fan,185,medium
N8712L,0,BOEING,Turbo-fan,185,medium
N8713M,0,BOEING,Turbo-fan,185,medium
N8714Q,0,BOEING,Turbo-fan,185,medium
N8715Q,0,BOEING,Turbo-fan,185,medium
N8716B,0,BOEING,Turbo-fan,185,medium
N871AS,16,BOMBARDIER INC,Turbo-fan,55,small
N871DN,NA,BOEING,Turbo-fan,222,medium
N872DN,0,BOEING,Turbo-fan,222,medium
N873DN,0,BOEING,Turbo-fan,222,medium
N874AA,39,BOEING,Turbo-jet,134,medium
N874DN,0,BOEING,Turbo-fan,222,medium
N87507,9,BOEING,Turbo-fan,149,medium
N87512,9,BOEING,Turbo-fan,149,medium
N87513,9,BOEING,Turbo-fan,149,medium
N87527,7,BOEING,Turbo-fan,149,medium
N87531,6,BOEING,Turbo-fan,149,medium
N875DN,0,BOEING,Turbo-fan,222,medium
N876DN,NA,BOEING,Turbo-fan,222,medium
N877DN,0,BOEING,Turbo-fan,222,medium
N878DA,NA,PIPER,Reciprocating,4,small
N878DN,0,BOEING,Turbo-fan,222,medium
N879DN,0,BOEING,Turbo-fan,222,medium
N880AA,NA,DJI,Electric,NA,NA
N880DN,0,BOEING,Turbo-fan,222,medium
N881AA,NA,RAYTHEON AIRCRAFT COMPANY,Turbo-fan,8,small
N881DN,0,BOEING,Turbo-fan,222,medium
N882AA,14,RAYTHEON AIRCRAFT COMPANY,Turbo-fan,8,small
N882DN,0,BOEING,Turbo-fan,222,medium
N883DN,0,BOEING,Turbo-fan,222,medium
N884DN,0,BOEING,Turbo-fan,222,medium
N885AA,16,EXTRA FLUGZEUGBAU GMBH,Reciprocating,2,small
N885DN,0,BOEING,Turbo-fan,222,medium
N886DN,0,BOEING,Turbo-fan,222,medium
N887DN,0,BOEING,Turbo-fan,222,medium
N888AA,8,PILATUS AIRCRAFT LTD,Turbo-prop,11,small
N889UA,NA,AIRBUS,Turbo-fan,179,medium
N890UA,NA,AIRBUS,Turbo-fan,179,medium
N891AA,28,BEECH,Turbo-prop,9,small
N891AT,13,BOEING,Turbo-fan,100,small
N891UA,NA,AIRBUS,Turbo-fan,179,medium
N892AT,13,BOEING,Turbo-fan,100,small
N892UA,NA,AIRBUS,Turbo-fan,179,medium
N893AT,13,BOEING,Turbo-fan,100,small
N893UA,NA,AIRBUS,Turbo-fan,179,medium
N894AT,13,BOEING,Turbo-fan,100,small
N894UA,NA,AIRBUS,Turbo-fan,179,medium
N895AT,13,BOEING,Turbo-fan,100,small
N895UA,10,AIRBUS,Turbo-fan,179,medium
N8968E,13,BOMBARDIER INC,Turbo-fan,55,small
N896AT,12,BOEING,Turbo-fan,100,small
N896SK,11,BOMBARDIER INC,Turbo-fan,95,small
N896UA,NA,AIRBUS,Turbo-fan,179,medium
N897SK,11,BOMBARDIER INC,Turbo-fan,95,small
N8982A,13,BOMBARDIER INC,Turbo-fan,55,small
N898SK,10,BOMBARDIER INC,Turbo-fan,95,small
N899AT,12,BOEING,Turbo-fan,100,small
N899SK,10,BOMBARDIER INC,Turbo-fan,95,small
N900DE,25,MCDONNELL DOUGLAS CORPORATION,Turbo-jet,142,medium
N900PC,20,BOEING,Turbo-fan,178,medium
N900WN,10,BOEING,Turbo-fan,140,medium
N901AA,0,AIRBUS,Turbo-fan,379,large
N901DA,22,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N901DE,25,MCDONNELL DOUGLAS CORPORATION,Turbo-jet,142,medium
N901NK,1,AIRBUS,Turbo-fan,190,medium
N901WN,10,BOEING,Turbo-fan,140,medium
N902AA,0,AIRBUS,Turbo-fan,379,large
N902DA,23,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N902DE,25,MCDONNELL DOUGLAS CORPORATION,Turbo-jet,142,medium
N902FR,16,AIRBUS INDUSTRIE,Turbo-fan,179,medium
N902NK,1,AIRBUS,Turbo-fan,190,medium
N902WN,10,BOEING,Turbo-fan,140,medium
N903AA,0,AIRBUS,Turbo-fan,379,large
N903DA,22,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N903DE,25,MCDONNELL DOUGLAS CORPORATION,Turbo-jet,142,medium
N903JB,4,AIRBUS,Turbo-fan,379,large
N903NK,1,AIRBUS,Turbo-fan,190,medium
N903WN,10,BOEING,Turbo-fan,140,medium
N904AA,0,AIRBUS,Turbo-fan,379,large
N904DA,22,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N904DE,25,MCDONNELL DOUGLAS CORPORATION,Turbo-jet,142,medium
N904DL,30,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N904NK,1,AIRBUS,Turbo-fan,190,medium
N904WN,9,BOEING,Turbo-fan,140,medium
N905AA,NA,BEECH,Reciprocating,6,small
N905DA,22,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N905DE,25,MCDONNELL DOUGLAS CORPORATION,Turbo-jet,142,medium
N905DL,30,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N905JB,4,AIRBUS INDUSTRIE,Turbo-fan,379,large
N905NK,1,AIRBUS,Turbo-fan,190,medium
N905WN,9,BOEING,Turbo-fan,140,medium
N906AA,0,AIRBUS,Turbo-fan,379,large
N906AT,16,BOEING,Turbo-fan,100,small
N906DA,22,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N906DE,25,MCDONNELL DOUGLAS CORPORATION,Turbo-jet,142,medium
N906DL,30,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N906WN,9,BOEING,Turbo-fan,140,medium
N907AA,0,AIRBUS,Turbo-fan,379,large
N907DA,22,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N907DE,25,MCDONNELL DOUGLAS CORPORATION,Turbo-jet,142,medium
N907DL,30,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N907JB,4,AIRBUS INDUSTRIE,Turbo-fan,379,large
N907WN,9,BOEING,Turbo-fan,140,medium
N908AA,0,AIRBUS,Turbo-fan,379,large
N908DA,22,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N908DE,25,MCDONNELL DOUGLAS CORPORATION,Turbo-jet,142,medium
N908DL,30,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N908WN,9,BOEING,Turbo-fan,140,medium
N909AA,49,CESSNA,Reciprocating,8,small
N909DA,22,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N909DE,25,MCDONNELL DOUGLAS CORPORATION,Turbo-jet,142,medium
N909WN,9,BOEING,Turbo-fan,140,medium
N910AA,18,CESSNA,Reciprocating,4,small
N910AT,16,BOEING,Turbo-fan,100,small
N910DE,25,MCDONNELL DOUGLAS CORPORATION,Turbo-jet,142,medium
N910DL,30,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N910DN,22,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N910FR,15,AIRBUS,Turbo-fan,100,small
N910WN,9,BOEING,Turbo-fan,140,medium
N911DA,22,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N911DE,25,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N911DL,30,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N912DE,25,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N912DL,30,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N912DN,21,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N912WN,9,BOEING,Turbo-fan,140,medium
N913DE,24,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N913DL,29,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N913DN,21,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N913EV,15,BOMBARDIER INC,Turbo-fan,55,small
N913JB,4,AIRBUS,Turbo-fan,379,large
N913WN,9,BOEING,Turbo-fan,140,medium
N914DE,24,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N914DL,29,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N914DN,21,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N914WN,9,BOEING,Turbo-fan,140,medium
N915AA,40,CESSNA,4 Cycle,2,small
N915AT,16,BOEING,Turbo-fan,100,small
N915DE,24,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N915DL,29,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N915DN,21,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N915WN,9,BOEING,Turbo-fan,140,medium
N916DE,24,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N916DL,29,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N916DN,21,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N916WN,9,BOEING,Turbo-fan,140,medium
N917AA,33,DRLIK ROMUALD,Reciprocating,2,small
N917DE,24,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N917DL,29,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N917DN,21,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N917WN,9,BOEING,Turbo-fan,140,medium
N918DE,24,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N918DH,21,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N918DL,29,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N918WN,9,BOEING,Turbo-fan,140,medium
N919AA,12,ANTARES,2 Cycle,2,small
N919AT,16,BOEING,Turbo-fan,100,small
N919DE,24,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N919DL,29,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N919DN,20,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N919FR,14,AIRBUS,Turbo-fan,147,medium
N919WN,9,BOEING,Turbo-fan,140,medium
N920AA,39,PARTENAVIA S.P.A.,Reciprocating,6,small
N920AT,17,BOEING,Turbo-fan,100,small
N920DE,24,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N920DL,29,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N920DN,NA,MCDONNELL DOUGLAS,Turbo-fan,142,medium
N920FR,14,AIRBUS,Turbo-fan,147,medium
N920WN,9,BOEING,Turbo-fan,140,medium
N921AA,44,CESSNA,4 Cycle,4,small
N921AT,17,BOEING,Turbo-fan,100,small
N921DL,29,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N921DN,NA,MCDONNELL DOUGLAS,Turbo-fan,142,medium
N921VA,0,AIRBUS,Turbo-fan,222,medium
N921WN,9,BOEING,Turbo-fan,140,medium
N922AT,12,BOEING,Turbo-fan,100,small
N922DL,29,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N922DX,NA,MCDONNELL DOUGLAS,Turbo-fan,142,medium
N922FR,14,AIRBUS,Turbo-fan,147,medium
N922VA,0,AIRBUS,Turbo-fan,222,medium
N922WN,9,BOEING,Turbo-fan,140,medium
N923AT,12,BOEING,Turbo-fan,100,small
N923DL,29,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N923DN,NA,BOEING,Turbo-fan,142,medium
N923FR,14,AIRBUS,Turbo-fan,147,medium
N923JB,3,AIRBUS INDUSTRIE,Turbo-fan,379,large
N923VA,NA,AIRBUS,Turbo-fan,222,medium
N923WN,9,BOEING,Turbo-fan,140,medium
N924AT,17,BOEING,Turbo-fan,100,small
N924DL,29,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N924DN,NA,BOEING,Turbo-fan,142,medium
N924WN,9,BOEING,Turbo-fan,140,medium
N925AT,17,BOEING,Turbo-fan,100,small
N925DL,29,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N925DN,NA,BOEING,Turbo-fan,142,medium
N925VA,NA,AIRBUS,Turbo-fan,222,medium
N925WN,9,BOEING,Turbo-fan,140,medium
N926AT,17,BOEING,Turbo-fan,100,small
N926DH,NA,BOEING,Turbo-fan,142,medium
N926DL,29,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N926FR,13,AIRBUS,Turbo-fan,147,medium
N926WN,NA,BOEING,Turbo-fan,140,medium
N927AA,2,TEXTRON AVIATION INC,Turbo-fan,8,small
N927AT,17,BOEING,Turbo-fan,100,small
N927DA,29,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N927DN,18,BOEING,Turbo-fan,142,medium
N927FR,13,AIRBUS,Turbo-fan,100,small
N927WN,NA,BOEING,Turbo-fan,140,medium
N928AT,17,BOEING,Turbo-fan,100,small
N928DL,29,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N928DN,NA,BOEING,Turbo-fan,142,medium
N928WN,NA,BOEING,Turbo-fan,140,medium
N929AA,0,AIRBUS,Turbo-fan,379,large
N929AT,17,BOEING,Turbo-fan,100,small
N929DL,29,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N929DN,21,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N929JB,3,AIRBUS INDUSTRIE,Turbo-fan,379,large
N929WN,9,BOEING,Turbo-fan,140,medium
N930AA,40,BEECH,Reciprocating,6,small
N930AT,17,BOEING,Turbo-fan,100,small
N930DL,29,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N930DN,21,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N930WN,8,BOEING,Turbo-fan,140,medium
N931DL,29,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N931DN,20,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N931WN,8,BOEING,Turbo-fan,140,medium
N932AT,17,BOEING,Turbo-fan,100,small
N932DL,28,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N932DN,21,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N932WN,8,BOEING,Turbo-fan,140,medium
N933AT,17,BOEING,Turbo-fan,100,small
N933DL,28,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N933DN,20,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N933WN,8,BOEING,Turbo-fan,140,medium
N934AA,0,AIRBUS,Turbo-fan,379,large
N934AT,17,BOEING,Turbo-fan,100,small
N934DL,28,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N934DN,21,MCDONNELL DOUGLAS,Turbo-fan,142,medium
N934JB,3,AIRBUS INDUSTRIE,Turbo-fan,379,large
N934WN,8,BOEING,Turbo-fan,140,medium
N935AT,17,BOEING,Turbo-fan,100,small
N935DL,28,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N935DN,21,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N935JB,3,AIRBUS INDUSTRIE,Turbo-fan,379,large
N935WN,8,BOEING,Turbo-fan,140,medium
N936AT,18,BOEING,Turbo-fan,100,small
N936DL,28,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N936DN,21,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N936WN,8,BOEING,Turbo-fan,140,medium
N937AT,16,BOEING,Turbo-fan,100,small
N937DL,28,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N937DN,NA,MCDONNELL DOUGLAS,Turbo-fan,142,medium
N937JB,3,AIRBUS,Turbo-fan,379,large
N937WN,8,BOEING,Turbo-fan,140,medium
N938AT,11,BOEING,Turbo-fan,100,small
N938DL,28,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
N938DN,22,MCDONNELL DOUGLAS,Turbo-jet,142,medium
N938FR,12,AIRBUS,Turbo-fan,100,small
N938WN,8,BOEING,Turbo-fan,140,medium
N939AT,11,BOEING,Turbo-fan,100,small
N939DL,28,MCDONNELL DOUGLAS AIRCRAFT CO,Turbo-fan,142,medium
